"calulation_point","Instantaneous Power","Wind Speed","Wind Direction","Air Temperature","Rotor Speed"
"11-28 23:54",270.8,15.35,222.2,59,25
"11-28 23:55",160.2,14.03,210.8,59,25
"11-28 23:56",129.6,12.44,216.5,59,25
"11-28 23:57",184.3,13.18,230.9,59,25
"11-28 23:58",243.3,15.23,221.1,59,25
"11-28 23:59",194.4,13.96,225,59,25
"11-29 00:09",272.5,15.95,215.3,59,25
"11-29 00:10",324.8,16.37,219.3,59,25
"11-29 00:11",239.3,15.23,214.6,59,25
"11-29 00:12",175.1,13.44,225.9,59,25
"11-29 00:13",196.2,13.56,217.3,59,25
"11-29 00:14",183.9,13,226.1,59,25
"11-29 00:15",165.4,12.59,216.9,59,25
"11-29 00:16",215.7,14.34,222.6,59,25
"11-29 00:17",146.4,13,220.9,59,25
"11-29 00:18",222.1,14.54,221.9,59,25
"11-29 00:19",166.2,13.42,225.6,59,25
"11-29 00:20",222.4,14.45,221,59,25
"11-29 00:21",159.7,13.24,224.7,59,25
"11-29 00:22",228.5,14.36,224.5,59,25
"11-29 00:23",173.3,13.67,224.4,59,25
"11-29 00:24",128,11.63,227.8,59,25
"11-29 00:30",151.1,12.35,228.3,59,25
"11-29 00:31",159.1,12.44,228.9,59,25
"11-29 00:32",175.7,13.29,226.1,59,25
"11-29 00:33",148.9,12.57,226.5,59,25
"11-29 00:34",161.6,12.17,223.6,59,25
"11-29 00:35",219.2,13.69,228.4,59,25
"11-29 00:36",163.5,12.86,228.6,59,25
"11-29 00:37",152.4,13.02,223.4,59,25
"11-29 00:38",182.3,13.67,228.6,59,25
"11-29 00:39",129.1,11.7,229.5,59,25
"11-29 00:40",144,11.92,228.2,60.8,25
"11-29 00:41",177.6,12.73,225.6,59,25
"11-29 00:42",163.5,13.47,235.2,59,25
"11-29 00:43",125.8,12.8,221.5,59,25
"11-29 00:44",87,9.73,237.7,59,25
"11-29 00:52",154.9,11.81,231.2,59,25
"11-29 00:53",189.9,13.06,235.5,59,25
"11-29 00:54",145.5,12.35,232.5,59,25
"11-29 00:55",179.1,12.93,234.4,60.8,25
"11-29 00:56",134.6,11.61,237.2,60.8,25
"11-29 00:57",242.7,14.38,243,59,25
