OBJECTID,Building,Rack_Type,Rack_Condition,Ground_Type,Ground_Condition,Rack_Secured,Number_bikes,Notes,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
88, bachelor,Galvanized,Good,Other,Good,No,3,,cca660c3-a9ed-428b-9bb5-4e1d96df018a,5/12/15 15:39,,5/12/15 15:39,,-84.73014179,39.5068679
89, bachelor,Galvanized,Fair,Brick,Good,No,3,,dcefeb37-f375-4e95-aab5-21690c8d2679,5/12/15 15:41,,5/12/15 15:41,,-84.72958797,39.50698141
90, beechwood,Black,Good,Other,Good,Yes,5,2 racks,614b1604-d64f-44fb-ba01-d2ec3f11bf58,5/12/15 15:45,,5/12/15 15:45,,-84.72845058,39.50673562
91, hillcrest,Black,Good,Concrete Pavers,Good,Yes,3,2 racks,babf0ca9-7a5c-4646-9e33-5fa6bdee14b1,5/12/15 15:49,,5/12/15 15:49,,-84.72703339,39.50620208
92, child development center,Galvanized,Fair,Concrete Pavers,Good,No,1,,a6e2a9a9-978a-48a2-b705-437d633d7236,5/12/15 15:52,,5/13/15 21:15,,-84.726401,39.50555242
93, thomson,Galvanized,Fair,Brick,Good,No,13,3 racks,2e338027-bde4-49ae-8522-61e265153af9,5/12/15 15:59,,5/12/15 15:59,,-84.72543975,39.50453313
94, boyd,Galvanized,Good,Brick,Fair,No,1,2 racks,58549dec-9981-4696-a1ca-179c2ae996d5,5/12/15 16:03,,5/12/15 16:03,,-84.72565659,39.50358619
95, peabody,Galvanized,Good,Brick,Good,No,22,5 racks,af04aaf9-a342-4008-a1ca-be6a56cfea62,5/12/15 16:08,,5/12/15 16:08,,-84.72586858,39.50155591
96, mckee,Galvanized,Poor,Brick,Good,No,6,2 racks,bf7f460d-10b9-4d93-993e-ea2637bc8c76,5/12/15 16:13,,5/12/15 16:13,,-84.72615709,39.50288351
97, presser,Galvanized,Fair,Brick,Good,No,3,2 racks,cf7a30a9-3823-4ae7-8c4c-bd2365332226,5/12/15 16:20,,5/12/15 16:20,,-84.72997131,39.50397492
98, mary lyon,Galvanized,Fair,Brick,Fair,No,5,,ac275fa3-df35-405f-be5c-67f5c7993fe4,5/12/15 16:26,,5/12/15 16:26,,-84.72771805,39.50384867
99, mary lyon,Galvanized,Fair,Brick,Fair,No,1,,b29a9302-0894-4760-8cc2-8dc200a798f7,5/12/15 16:28,,5/12/15 16:28,,-84.72756829,39.50380169
100, hoyt,Galvanized,Good,Brick,Good,No,3,,931223e3-b9c6-41de-8bcc-7143db12caea,5/12/15 16:29,,5/12/15 16:29,,-84.72768122,39.50351137
101, western dining,Black,Good,Concrete Pavers,Good,No,6,,52bf173e-d873-4cbd-86e2-e38e596375dc,5/12/15 16:34,,5/12/15 16:34,,-84.72791853,39.50480638
102, havighurst,Black,Good,Concrete Pavers,Good,Yes,7,2 racks,1297ba1f-8898-4f3e-8b8e-3e5b88fd2464,5/12/15 16:37,,5/12/15 16:37,,-84.72750361,39.50525284
103, havighurst,Black,Good,Concrete Pavers,Good,Yes,7,2 racks,0da10884-36fe-4fb9-9d40-fb92b014d7c4,5/12/15 16:38,,5/12/15 16:38,,-84.72749708,39.5051996
104, clawson,Galvanized,Fair,Brick,Fair,No,12,2 racks,03c64d70-7d02-4e96-a5bd-17ecdf580f06,5/12/15 16:43,,5/12/15 16:43,,-84.72625786,39.5042213
105, havighurst,Galvanized,Fair,Brick,Good,No,6,,bbaea1ea-b3cf-4d30-99af-d284433e8e51,5/12/15 16:56,,5/12/15 16:56,,-84.72706147,39.50531367
106, havighurst,Galvanized,Good,Brick,Good,No,1,,175ebe4c-2bfc-40b6-b61f-6db19320ee5d,5/12/15 16:58,,5/12/15 16:58,,-84.72723742,39.50551182
107, cole service,Galvanized,Poor,Concrete Pavers,Good,No,0,,e1c9d81d-7191-4a4f-9897-9ca3a8d93697,5/12/15 17:11,,5/12/15 17:11,,-84.72708822,39.50796463
108, cole service,Galvanized,Good,Concrete Pavers,Good,No,3,,d3d47d10-5462-4b6b-bfc6-3db0c599255e,5/12/15 17:14,,5/12/15 17:14,,-84.72644015,39.50835165
109, cole service,Galvanized,Fair,Concrete,Poor,No,0,,4fb2ca5f-c21f-406d-8ba3-1f48807c0d28,5/12/15 17:17,,5/12/15 17:17,,-84.72670515,39.50876203
110, warfield,Galvanized,Good,Brick,Good,No,1,,9b73e97a-92c0-41e6-ad60-b6460de29981,5/13/15 17:00,,5/13/15 17:00,,-84.73550227,39.50685375
111, hamilton,Galvanized,Good,Brick,Poor,No,1,,f8848930-0c31-484d-8656-59fa23f3915b,5/13/15 17:04,,5/13/15 17:04,,-84.73549846,39.5062902
112, hamilton,Galvanized,Good,Brick,Good,No,1,,eaeb2203-bd4e-4015-85e3-8cd17ef65354,5/13/15 17:07,,5/13/15 17:07,,-84.73550957,39.50511129
113, richard,Galvanized,Good,Brick,Poor,No,1,,acded40e-81fa-44de-a5ea-6e40050fce66,5/13/15 17:11,,5/13/15 17:11,,-84.73548909,39.50503079
114, hamilton,Galvanized,Good,Brick,Good,No,1,,77827a60-1e8c-4383-9c65-45ee30db6197,5/13/15 17:16,,5/13/15 17:17,,-84.73567546,39.50588795
115, richard,Galvanized,Fair,Brick,Fair,No,1,,778cff78-28d8-4724-9a8c-f40628796143,5/13/15 17:20,,5/13/15 17:20,,-84.73576325,39.50476871
116, mac cracken,Galvanized,Good,Brick,Good,No,1,,967880dd-6e16-4959-9ee5-da4fa7fb010b,5/13/15 17:24,,5/13/15 17:24,,-84.73489953,39.50435701
117, mac cracken,Galvanized,Good,Brick,Good,No,0,,f4838f5c-2bbb-4c0d-ae4f-3f6cbade27e0,5/13/15 17:26,,5/13/15 17:26,,-84.73439004,39.50435119
118, scott,Galvanized,Good,Brick,Good,No,3,,33f502bc-39c2-4c3b-95d0-2dbd6cd21575,5/13/15 17:29,,5/13/15 17:29,,-84.73394946,39.50441644
119, scott,Galvanized,Good,Brick,Good,No,1,,c392195c-126e-4f00-9730-e5eff9e38b7b,5/13/15 17:31,,5/13/15 17:31,,-84.73396949,39.50469638
120, scott,Galvanized,Good,Brick,Good,No,4,,c12a57f3-847d-407c-b355-1e16d30884c6,5/13/15 17:34,,5/13/15 17:34,,-84.73355116,39.5050194
121, minnich,Galvanized,Good,Brick,Good,No,0,,f89f7b3c-ebdc-41d2-8849-c907f3992d5b,5/13/15 17:35,,5/13/15 17:35,,-84.73365927,39.50509746
122, minnich,Galvanized,Good,Brick,Good,No,1,,c7e50e06-ffa2-4522-bab3-dfa73729ab1c,5/13/15 17:39,,5/13/15 17:39,,-84.73370614,39.50622443
123, minnich,Galvanized,Fair,Brick,Fair,No,0,2 racks,b1c98956-647b-43c0-b60c-ce8482942db6,5/13/15 17:47,,5/13/15 17:47,,-84.73330212,39.50564934
124, scott,Galvanized,Good,Brick,Good,No,8,2 racks,f6f600be-8966-466a-941e-5f2a37e976bd,5/13/15 17:53,,5/13/15 17:53,,-84.73362968,39.50379306
125, mac cracken,Galvanized,Good,Other,Poor,No,0,,23d18067-7ca3-48a8-a8ba-ca6f1802112e,5/13/15 17:57,,5/13/15 17:57,,-84.73441133,39.50376111
126, porter,Galvanized,Fair,Brick,Poor,No,14,2 racks,826d6c2d-2b8e-4df1-94ed-cd17a52da207,5/13/15 18:01,,5/13/15 18:01,,-84.73517973,39.50308502
127, anderson,Black,Good,Brick,Good,No,4,3 racks,9e28a01f-6add-4bad-b2ee-8283ab0bce2c,5/13/15 18:05,,5/13/15 18:05,,-84.73538189,39.50239183
128, porter,Galvanized,Poor,Brick,Fair,No,0,2 racks,58576e35-bd80-4d2b-a18b-5036a834f0e0,5/13/15 18:08,,5/13/15 18:08,,-84.73553535,39.50265894
129, porter,Galvanized,Poor,Brick,Fair,No,2,,bcb47d42-6ecd-4dae-86f3-041edfa066c9,5/13/15 18:10,,5/13/15 18:10,,-84.73578406,39.5031698
130, harris dining,Galvanized,Good,Brick,Fair,No,0,,57f73cce-44d2-497a-873f-56e1d0110afa,5/13/15 18:15,,5/13/15 18:15,,-84.73494363,39.50180681
131, stanton,Galvanized,Poor,Brick,Fair,No,7,3 racks,be8fbd2f-c69e-4af7-976c-8defe4012789,5/13/15 18:19,,5/13/15 18:19,,-84.7334776,39.50208353
132, stanton,Galvanized,Poor,Brick,Good,No,4,2 racks,0856e139-ddea-4f44-9898-4cd1731c1309,5/13/15 18:22,,5/13/15 18:22,,-84.73376724,39.50255855
133, harris dining,Galvanized,Good,Brick,Good,No,1,,a43b0b56-79f6-44f9-ba4f-03c7113cf87f,5/13/15 18:24,,5/13/15 18:24,,-84.73426037,39.50232576
134, dodds,Galvanized,Fair,Brick,Good,No,4,2 racks,4e425dec-7f05-45ce-8429-e1d7722ad994,5/13/15 18:29,,5/13/15 18:29,,-84.73400959,39.50309065
135, dodd,Galvanized,Good,Brick,Good,No,6,2 racks,dd54f5d4-095f-4301-a94d-802679c0d2f7,5/13/15 18:32,,5/13/15 18:32,,-84.73351887,39.50319924
136, maplestreet station,Black,Good,Concrete Pavers,Good,No,0,,b15c6004-9f35-43b1-a564-dd3daa723085,5/13/15 19:05,,5/13/15 19:54,,-84.73290762,39.50378027
137, etheridge,Black,Good,Concrete Pavers,Good,Yes,8,,64d5ba30-5965-406f-bc1d-620af4c0f3df,5/13/15 19:08,,5/13/15 19:08,,-84.73245333,39.50357886
138, morris,Black,Good,Brick,Good,No,13,3 racks,822c7c6d-e33d-46e4-8ba9-7ddeb4a0ed19,5/13/15 19:11,,5/13/15 19:11,,-84.73285457,39.50277342
139, morris,Black,Good,Brick,Good,No,7,3 racks,2a14b4e0-17cd-4f27-96cd-2a821912f79d,5/13/15 19:12,,5/13/15 19:12,,-84.73279209,39.50246325
140, emerson,Black,Good,Brick,Good,No,10,2 racks,c9ea3f9e-6583-493d-8168-087cb4100857,5/13/15 19:17,,5/13/15 19:17,,-84.73259371,39.50187495
141, tappan,Black,Good,Brick,Good,No,9,2 racks,b0f97491-249b-4e5c-a2cb-e304fd866d3a,5/13/15 19:22,,5/13/15 19:22,,-84.73107751,39.50284203
142, tappan,Black,Good,Brick,Good,No,11,2 racks,f5bd9eb8-cbe6-42a4-b822-3513c7f71571,5/13/15 19:25,,5/13/15 19:25,,-84.73118878,39.50222624
143, tappan,Black,Good,Concrete Pavers,Good,No,9,,c8f76d38-d629-447c-a1a8-a19ac24b4d94,5/13/15 19:27,,5/13/15 19:27,,-84.73147374,39.50215286
144, emerson,Black,Good,Brick,Good,No,12,2 racks,5372adf1-2ad4-4ec8-a097-bb7c622d1e59,5/13/15 19:30,,5/13/15 19:30,,-84.73145365,39.50191562
